layer,max_temp,epoch_time
0,40.0629,1
1,40.0621,1
2,40.0626,1
3,40.0629,1
4,40.0012,1
0,40.0776,2
1,40.0762,2
2,40.0766,2
3,40.0737,2
4,40.0028,2
0,40.1009,3
1,40.1019,3
2,40.1029,3
3,40.0996,3
4,40.0048,3
0,40.1147,4
1,40.1131,4
2,40.115,4
3,40.1086,4
4,40.0072,4
0,40.1098,5
1,40.1097,5
2,40.1113,5
3,40.1027,5
4,40.0097,5
0,40.1227,6
1,40.1232,6
2,40.1227,6
3,40.111,6
4,40.0124,6
0,40.1304,7
1,40.129,7
2,40.1287,7
3,40.119,7
4,40.0154,7
0,40.1493,8
1,40.1471,8
2,40.1472,8
3,40.1352,8
4,40.0186,8
0,40.1497,9
1,40.1511,9
2,40.1507,9
3,40.1358,9
4,40.0219,9
0,40.1539,10
1,40.1555,10
2,40.1495,10
3,40.1371,10
4,40.0253,10
0,40.1555,11
1,40.1593,11
2,40.1564,11
3,40.1424,11
4,40.0288,11
